Region,Country,Location,Course,Play,Type,Date,NumberHoles,Architect,Budget,Budget2,Construction,ETA,Year,TypeOfJob,Status,Current,History,DataCurated,Latitude,Longitude,Website,YouTube,Instagram,InstaCaption,Acres,Comments,YouTubeCaption,Twitter,TwitterCaption,ArchitectURL,Owner
Asia,Thailand,Pathum Thani,Stone Hill,Holiday,,2022,,Kyle Phillips,,,Flagstick GCCM,,,New,Open,,,2022-08-02,14.087392,100.5521692,http://www.stonehill.co.th,,,,,CADSULT IDS Irrigation,,,,,
Asia,UAE,Abu Dhabi,Ruwais,Holiday,Public,2022,9,Jon Hunt,,,Desert Group,,,New,Open,,,2022-02-13,24.114076,52.650333,https://www.instagram.com/p/CEtYhXDFVaB/,,jonhunt_golfcoursearchitect,Jon Hunt,,,,SpazianiG/status/1039159234569691136,Paspalum,,
Asia,Vietnam,Cam Ranh,ANARA Binh Tien,Holiday,Public,2022,,Golfplan David Dale,,,Flagstick GCCM,,,New,Open,,,2022-01-24,11.847183,109.089363,https://www.facebook.com/B%C3%ACnh-Ti%C3%AAn-Golf-Beach-Resort-103767117861022/,Knmj-9N3AmU,,,,,Martin Moore,IMGPrestigeGolf/status/1394940860056444929,Night Golf,,
Asia,Vietnam,Ha Long,An Bien,Holiday,Public,2022,,Brian Curley,,,Flagstick GCCM,,,New,Construction,,,2021-09-02,21.0198279,106.4903153,https://www.youtube.com/watch?v=A7GyPDJ5cWQ,001Ig5IN3Gw,,,,36 holes,Curley,,,,
Asia,Vietnam,Hanoi,Stone Valley,Holiday,Public,2022,,Brian Curley,,,Trường An,,,New,Open,,,2022-08-16,20.5365147,105.8160207,http://golftruongan.com.vn/vn/golf-course.html,,,,,,,,,,
Asia,Vietnam,Nghe An,Muong Thanh Xuan,Holiday,Public,2022,,IMG,,,Atlas Turf,,,New,Open,,,2022-09-21,19.1456498,105.5153774,https://www.facebook.com/xuanthanhgolf,TW8vNuIkfYs,,,,,18 holes,,,,
Asia,Vietnam,Phan Thiet,Nova PGA Garden,Holiday,Public,2022,,Greg Norman,,,Flagstick GCCM,,,New,Open,,,2022-04-03,10.845856,107.965728,https://novaworldphanthiet.com.vn/en/phan-ky/,YOASjDSob6A,,,,Sports Turf Solutions,Flyover,BradBurgess/status/1510403295294095360,BRF Zoysia ,,
AU/NZ,Australia,Queensland,Minnippi Cannon Hill,Govt.,Public,2022,,Reeves Ryan,$17M,,,,,New,Open,,,2023-05-03,-27.47788,153.09424,https://www.smh.com.au/national/queensland/brisbane-s-first-new-golf-course-in-72-years-set-to-tee-off-20230425-p5d326.html,,,,,Public Golf,,,,,
AU/NZ,NZ,North Island,Te Arai South,Holiday,Public,2022,,Bill Coore Ben Crenshaw,,,,,,New,Open,,,2022-10-01,-36.1967176,174.616897,https://tearai.com/golf/,,tearailinks,,,,,EvinPriest/status/1473599677131943940,Images,,
AU/NZ,NZ,South Island,Millbrook Coronet,Holiday,,2022,,Turner Macpherson,,$36M,,,,New,Open,,,2022-07-21,-44.942743,168.818002,https://www.millbrook.co.nz/,4rWt8l8xvq0,millbrookresort,millbrookresort,165,New 9,Par 4,odtnews/status/1208664967093854208,Otago,,
Europe,Estonia,Estonia,Rae,Once,Member,2022,,Lassi Pekka Tilander,,,,,,New,Open,,,2022-09-07,59.3077783,24.9737705,https://www.facebook.com/tilandergolfdesign/posts/next-level-driving-range-at-rae-golf-near-tallinn-estonia-is-getting-ready-for-n/10157653153268688/,,,,,,,lptilander/status/1485673220346982401,6 holes,,
Europe,Greece,Pilos,Costa Navarino IOC Academy,Holiday,Public,2022,,Olazabal,$60M,,A.P. Maragakis,,,New,Open,,,2022-01-20,36.936612,21.716689,https://www.costanavarino.com/golf-resort/bay-course/,LP4yDaV2zVA,,,,,Olazabal,,,,
Europe,Greece,Pilos,Costa Navarino Hills,Holiday,Public,2022,,Olazabal,$60M,,,,,New,Open,,,2022-01-20,36.996698,21.652033,https://www.costanavarino.com/golf-resort/dunes-course/,LP4yDaV2zVA,,,,,Olazabal,Messiniaproam/status/1327265199271923712,Dunes,,
Europe,Poland,Poznan,Black Water Links,Holiday,Member,2022,,Caspar Grauballe,,,All Golf Services,,,New,Open,,,2022-06-03,52.4685535,16.6238478,https://www.black-water.pl/timeline/,,blackwatergc,blackwatergc,,Andrzejem,,CoachVoyt/status/1417579910462312453,Preview,,
Europe,Spain,Zamora,Valderrey,Holiday,Public,2022,,TBA,,,,,,New,Open,,,2023-03-03,41.504102,-5.892896,https://www.golfvalderrey.com/el-campo/,,,,,,,,,,
GB&I,Ireland,Dublin,Marlay Park,Govt.,Public,2022,,Harrington,$0.3M,,Atlantic Golf,,,New,Open,,,2022-12-14,53.2850398,-6.313571,https://www.independent.ie/sport/golf/tee-to-green/harringtons-himalayas-taking-shape-at-marlay-41664752.html,,,,,Putting,,Independent_ie/status/1453840247767412746,Himalayas,,
L America,Argentina,La Pampa,Alvear,Holiday,Public,2022,,Fontanes,,,,,,New,Open,,,2022-08-02,35.2384159,-63.6514561,https://www.facebook.com/agustin.fontanes,,agustinfontanes.af,,,,,,,,
L America,Dom. Rep.,Santo Domingo,Vistas del Pedregal,Holiday,Public,2022,,Greg Norman,,,,,,New,Open,,,2022-09-02,18.481828,-70.017698,https://www.vistasgolfcountryclub.com/golf,,vistasgolfcountryclub,Vistas,,,,,,,
L America,Ecuador,Samborondón,Guayaquil CC,Holiday,Public,2022,,Bruce Charlton,,,,,,New,Open,,,2022-12-20,-2.057178,-79.823075,http://gcc.ec/,pyYS8oGp5OQ,el_country,el_country,,Travieso,Build,RTJ2GolfDesign/status/1337506204906639363,Hole 18,,Marcelo Travieso
L America,Mexico,Ciudad,Cola de Lagarto,Once,Member,2022,,Jim Engh,,,,,,New,Open,,,2022-03-12,18.869366,-99.492489,https://www.coladelagarto.com/,4JJuY81u8Rs,,,,,Puebla,,,,
L America,Mexico,Sonora,Las Riberas,Once,Member,2022,9,TBA,,,Roca Golf,,,New,Open,,,2023-03-13,29.0717158,-110.9587663,https://www.linkedin.com/pulse/la-primavera-golf-club-2nd-nine-holes-gary-kaye,,,,,,,Roca_Golf/status/1468051564254449669,Real estate,,
Asia,Abu Dhabi,Abu Dhabi,Garden Course,Holiday,Public,2022,,Peter Harradine,,,,,,Renovate,Open,,,2021-03-09,24.420186,54.524559,https://www.abudhabigolfclub.abudhabi/course-details,,,,,,,,,,
Asia,India,Jharkhand,Beldih,Holiday,Public,2022,,Vijit Nandrajog,,,,,,Rebuild ,Open,,,2023-02-01,23.780351,86.4728315,https://thegolfasia.com/golf-courses/beldih-golf-club,,vijitnandrajog,Golf Design India,,Tata Steel,,gcamagazine/status/1620075097963872258,GCA,,
Asia,Japan,Shizuoka,Shizuoka Shimada,Once,Member,2022,,Bryce Swanson Rees Jones,,,Inuji Landscape,,,Renovate,Open,,Fujita,2022-05-31,34.9331103,138.0471922,https://www.scg.jp/shimada/,,,,,Bryce Swanson,,gcamagazine/status/1514259012065316871,GCA,,
Asia,Kuwait,Kuwait,Sahara,Holiday,Public,2022,,IMG,,,,,,Rebuild ,Open,,,2022-08-22,29.2599847,48.0230431,https://www.saharakuwait.com/,,,,,,,,,,
Asia,Philippines,Clark,Mimosa,Holiday,Public,2022,,Mogg Hester,,,Green Dynasty,,,Renovate,Open,,Nelson Haworth,2022-03-07,15.184596,120.518738,https://mimosagolf.com/,,,,,,,,,,
Asia,Turkey,Belek,Titanic GC,Holiday,Member,2022,,Eur Golf Design,,,,,,Renovate,Open,,,2021-12-26,36.860901,28.728045,http://titanicgolfclub.com/,p7asZ4Y2QKw,titanichotels,,,,Official Video,eurogolfdesign/status/1328643867487440898, Nov 2020,,
AU/NZ,Australia,NSW,Blackheath,Holiday,Member,2022,,Harley Kruse,,,,,,Renovate,Ongoing,,,2021-03-02,-33.648901,150.27884,https://www.facebook.com/krusegolf/photos/a.617765085355603/1084472342018206/,,,,,,,,,https://krusegolf.com/,
AU/NZ,Australia,NSW,Nudgee,Holiday,Public,2022,,James Wilcher,,,,,,Renovate,Open,,,2021-12-28,-27.3732118,153.0965356,https://www.nudgeegolf.com.au/,,,,,Golf by Design,,,,,
AU/NZ,Australia,Victoria,Bannockburn,Holiday,Public,2022,,Ben Davey,$0.7M,,Reeves,,,Renovate,Open,,,2022-10-31,-38.044161,143.853111,https://www.golf.org.au/bannockburn%E2%80%99s-ground-breaking-renovation-project,,,,,Frewin,,,,,
AU/NZ,NZ,North Island,Royal Auckland & Grange,Holiday,Member,2022,,Nicklaus,,,Stringer Ramos,Greg Stringer | Bob Ramos | Scotty Dansmuir | Gordy Johnstone | Cliff Hamilton | Scotty Wells | contractor Grant Puddicombe,,Renovate,Open,,Fred Hood,2023-01-03,-36.963889,174.851978,https://www.royalaucklandgolfclub.co.nz/course-design?ComeFromCat=2037,zjDGuMMu6-4,,,,27 holes,Pure Distinction,NicklausCo/status/1153685546914537472,Paul Garvie,,
AU/NZ,NZ,North Island,Titirangi,Holiday,Member,2022,,Johnston,,,,,,Renovate,Open,,MacKenzie,2022-07-04,-36.917479,174.685321,https://www.australiangolfdigest.com.au/theres-a-new-zeal-in-new-zealand/,lG6WmKaJ7iA,titirangigolf,NZ,,,Design Interview,,,,
Europe,Austria,Kitzbühel,Eichenheim,Holiday,Member,2022,,Olazabal,,,,,,Renovate,Open,,,2023-07-09,47.4254114,12.4202027,https://www.instagram.com/p/Cd7yqJONeOY/?utm_source=ig_web_copy_link,,olazabaldesign,Lead Design Toni Ortner,,,,,,,
Europe,Czech Republic,Czech,Poděbrady,Holiday,Member,2022,,Jakub Cervenka,,,,,,Renovate,Open,,,2022-04-30,50.138114,15.144428,https://www.golfpodebrady.cz/,,,,,,,Jakubervenka13/status/1399706012244922370,Hole 3,,
Europe,Denmark,Copenhagen,Hillerod,Holiday,Member,2022,,Spogard Van der Vaart,,,SOL Golf,,,Renovate,Open,,,2022-06-11,55.904151,12.32417,https://hillerodgolf.dk/,,spogardvandervaart,Philip Spogárd,,Dennis Thorsgaard,,,,,
Europe,France,Alsace,Rougemont-le-Château,Holiday,Member,2022,,Caspar Grauballe,$5.5M,,Celtic Golf,,,Renovate,Open,,Berthet,2023-10-22,47.7407766,6.987772,https://www.golf-rougemont.com/projet/,wNF6qPFdF5E,,,,,Capillary Concrete + EcoBunker,,,,
Europe,Germany,Cologne,Marienburger,Once,Member,2022,,Althaus,,,Sommerfeld,,,Renovate,Open,,,2022-08-22,50.8897426,6.937818,https://marienburger-golfclub.de/es-geht-voran,jXuAk4JTcr4,,,,,Renovation,CapConGolf/status/1444324809995739141,Capillary,,
Europe,Germany,Wismar Bay,Bades Huk,Once,Member,2022,18,Städler,,,Reinmuth Poetter,,,Rebuild ,Open,,,2022-04-12,53.9467722,11.3350047,https://badeshuk.de/golf,,,,,Clavis International,,,,,
Europe,Netherlands,Den Hoorn,De Texelse,Holiday,Member,2022,,Alan Rijks,,,,,,Renovate,Open,,,2022-03-13,53.1058853,4.7701158,https://www.eigca.org/news/131130/Alan-Rijks-MEIGCA-renovations-at-De-Texelse,,,,,,,,,,
Europe,Portugal,Algarve,Dom Pedro Laguna,Holiday,Public,2022,,In house,,,,,,Renovate,Open,,Joe Lee,2022-08-23,37.101087,-8.135443,https://www.dompedrogolf.com/en/courses/dom-pedro-laguna,,,,,,,,,,
Europe,Spain,Andalucia,Club Vista Hermosa,Holiday,Member,2022,,Pont Hilgert,,,Gonzalo Fernández Castaño,,,Renovate,Open,,,2023-04-30,36.572521,-6.358023,https://rcgvistahermosa.com/,xvAbOauUDlk,,,,,Cadiz,cdpgolf1/status/1351772152295526400,Sandy soil,,
Europe,Spain,Cadiz,Almenara,Holiday,Public,2022,27,Manuel Piñero,,,,,,Renovate,Open,,Thomas,2022-05-01,36.2884238,-5.316602,https://www.golfcircus.com/en/interview-with-manuel-pinero-mastermind-behind-the-new-design-at-almenara-golf/,gtr40xR-BMY,,,,New 9,Architect Interview,,,,
Europe,Spain,Malaga,La Resina,Holiday,Member,2022,,In house,,,,,,Renovate,Open,,,2022-08-03,36.4671548,-5.0781186,https://www.facebook.com/laresinagolfclub,E20CiGekMTI,,,,,Turf,,,,
Europe,Spain,San Roque,Alcaidesa Links,Holiday,Member,2022,,Kurt Bowman,,,Acttua Golf,,,Renovate,Open,,Alliss Clark,2022-10-02,36.247325,-5.39384,https://www.alcaidesagolf.com/en/news/71/-10-10/,WXixDlvw_Bc,bowmangolfdesign,Bowman,,,Garden Golf International,,,,
Europe,Spain,Tarragona,Infinitum Lakes,Holiday,Member,2022,,In house,,,,,,Renovate,Open,,Norman,2023-02-28,41.0833209,1.1700255,https://golfbusinessnews.com/news/courses/infinitum-builds-for-the-future-with-renovation-of-lakes-course/,,,,,,,,,,
Europe,Sweden,Helsingborg,Vasatorp,Holiday,Member,2022,,Johan Benestam,,,,,,Renovate,Open,,,2022-05-03,56.0486213,12.7953531,https://www.vasatorp.golf/,,benestamgolfcoursedesign,Johan Benestam,,12 holes,,,,,
Europe,Sweden,Stockholm,Stockholms,Holiday,Member,2022,,Christian Lundin,$2.2M,,1st Golf,,,Restore,Ongoing,,Harry Colt,2023-06-30,59.394173,18.027835,https://stockholmsgolfklubb.se/,,,,,,,,,,
Europe,Sweden,Sweden,Gullbringa,Holiday,Member,2022,,Peter Fjällman,,,,,,Renovate,Open,,,2022-04-30,57.882503,11.768645,https://www.eigca.org/news/131365/Peter-Fjand228;llman-MEIGCA-finishes-first-phase-of-Master-Plan-at-Gullbringa-GCC,,,,,,,,,,
Europe,Sweden,Sweden,Haninge,Holiday,Member,2022,,Pontus Leijon,,,Nelson Vecchio,,,Renovate,Open,,,2023-02-13,59.1102649,18.1938702,https://www.haningegk.se/,,,,,,,,,,
GB&I,England,Birmingham,Enville Highgate,Holiday,Member,2022,,Pont Clayton,,,,,,Renovate,Open,,Frank Pennink,2023-03-02,52.498451,-3.361702,https://www.envillegolfclub.co.uk,,,,,Ed Cartwright,,cdpgolf1/status/1350031809183162368,Plans,,
GB&I,England,Devon,East Devon,Holiday,Member,2022,,Frank Pont,,,,,,Restore,Open,,Harry Colt,2022-11-03,50.6270622,-3.3414342,https://www.eastdevongolfclub.co.uk/the-course/course-overview/,dBic6BjfqNE,,,,,Frank Pont,,,,
GB&I,England,Stafford,Whittington Heath,Holiday,Member,2022,,Jonathan Gaunt,,,John Greasley,,,Renovate,Open,,Harry Colt,2022-04-23,52.662171,-2.062368,https://www.whittingtonheathgc.co.uk/,VCtWpUOdub0,,,,,Greasley,,,,
GB&I,England,Surrey,Cuddington,Holiday,Member,2022,,Pont Cartwright,,,CJW Conor Walsh,,1929,Renovate,Open,,Harry Colt,2022-03-28,51.331729,-0.216643,https://www.cuddingtongc.co.uk/course_history,,,,,,,conorWalsh11/status/1507613515414179846,Hole 8,,
GB&I,England,Surrey,Foxhills GC,Holiday,Member,2022,,Gary Johnston ,,,,,,Renovate,Ongoing,,,2023-11-04,51.3737469,-0.5560095,https://www.golfcoursearchitecture.net/digital/magazine/issue74/66/#zoom=true,,,,,EcoBunker EcoTec,,,,,
GB&I,England,Warwick,Stratford on Avon,Holiday,Member,2022,,Jonathan Gaunt,,,,,,Renovate,Open,,,2022-08-22,52.193886,-3.930095,https://www.stratfordonavongolfclub.co.uk/,,,,,,,,,,
GB&I,Ireland,Dublin,Druids Glen,Holiday,Public,2022,,Lynch McEvoy,$12M,,DAR,,,Renovate,Open,,Pat Ruddy,2023-05-05,53.095531,-6.080714,https://www.independent.ie/sport/golf/tee-to-green/home-and-away-places-to-play-paradise-regained-at-druids-glen-42081081.html,,kevinmarkham,Markham,,Rebuild greens,,reGOLFdesign/status/1385638155660009475,Hole 4,,
L America,Anguilla,Anguilla,Aurora International,Holiday,Public,2022,,Greg Norman,,,,,,Renovate,Open,,,2022-03-25,18.17749,-63.123675,https://www.auroraanguilla.com/golf/,,auroraanguilla,Golf resort,,,,,,,golf@cuisinart.ai
L America,Barbados,Barbados,Apes Hill,Holiday,Public,2022,,Kirby Carlton,,,Narly,,,Renovate,Open,,Ron Kirby,2022-12-03,13.215423,-77.539071,https://apeshillclub.com/,kS8lXL9PJcU,,,,Gary Shapiro,16th hole,JustCLW/status/1310897412337283072,Hole 6,,
L America,Mexico,Guadalajra,Guadalajra CC,Once,Member,2022,,Alarcon Morrish,,,Roca,,,Renovate,Open,,,2022-08-07,20.7044775,-103.3743331,https://www.gcc.com.mx/,,,,,,,,,,
L America,Mexico,Jalisco,El Tamarindo,Holiday,Public,2022,,In house,,,,,,Renovate,Open,,David Fleming,2022-12-26,19.902645,-105.585371,https://www.fourseasons.com/tamarindo/,,,,,Four Seasons,,Evan_Schiller/status/721718166598983680,Trent Jones,,
L America,Mexico,Nayarit,Vidanta,Holiday,Public,2022,,Greg Norman,$13.5M,,,,,Renovate,Open,,,2022-08-13,20.680566,-105.2758474,https://www.vidanta.com/en/web/nuevo-vallarta/the-norman-signature-course,,,,,,,,,,
L America,Mexico,Sinaloa,Marina Mazatlan,Holiday,Public,2022,,Agustín Pizá,,,,,2009,Renovate,Open,,Fleming,2022-12-31,23.1973514,-106.4544403,https://www.golfmarinamazatlan.com/,_ijcPQNhkuI,,,,Reassess,Flyover,,,,
N America,Canada,Alberta,Redwood Meadows,Holiday,Public,2022,,Gary Browning,,,,,,Renovate,Open,,Tattersfield Leonard,2023-08-11,50.9809553,-114.5266353,https://beyondthecontour.com/top-100/90-redwood-meadows/,,,,,,,,,,
N America,Canada,Ontario,Kawartha,Once,Member,2022,,Ian Andrew,,,,,,Restore,Open,,Stanley Thompson,2022-09-07,44.2866027,-78.359394,https://www.kawarthagolf.ca/The_Course/The_Course_(1),,,,,,,outpostprez/status/1567468909342736386,Toronto Star,,
N America,Canada,Ontario,StoneBridge,Once,Member,2022,,Baker,,,,,,Renovate,Open,,Baker,2022-11-05,45.25234,-75.722811,http://www.stonebridgegc.com/,,,,,,,StonebridgeCA/status/1400655010057408513,Plan,,
N America,Canada,Ontario,Sunningdale,Once,Member,2022,,Doug Carrick,,,KCM Construction,,,Renovate,Open,,Thompson,2022-12-31,43.033,-81.308194,https://www.sunningdalegolf.com,,,,,,,kcm_cg/status/1387099066019033088,6 Holes,,
N America,USA,Alabama,Auburn,Holiday,Public,2022,,Bill Bergin,$26.8M,,Wadsworth,,,Renovate,Open,,Bill Bergin,2023-02-16,32.6279028,-85.5135586,https://www.augolfclub.com,rSRrqy4249k,,,,,College Golf,,,,
N America,USA,Alabama,Greystone Legacy GC,Once,Member,2022,,Rees Jones,,,Total Turf,,,Rebuild ,Open,,,2022-11-12,33.4294215,-86.653016,https://blog.greystonecc.com/one-of-best-golf-courses-in-alabama-reopens-with-updates,,,,,Steve Weisser,,greystonegcc/status/1590811537903583233,TifEagle,,
N America,USA,Alabama,Limestone Springs,Holiday,Public,2022,,Langner,,,,,,Renovate,Open,,,2022-10-30,33.8948604,-86.568515,https://www.limestonesprings.com/,6iw_VDAQ6eg,,,,,Flyover,,,,
N America,USA,Arizona,Papago,Holiday,Public,2022,,Tryhus,$4M,,Heritage Links,,1963,Renovate,Open,,Billy Bell Jr.,2022-06-13,33.4610862,-111.963397,https://www.papagogolfclub.com/,,,,,,,Golfdom/status/1535396414645231618,Golfdom,,
N America,USA,Arizona,Terravita,Once,Member,2022,,Phil Smith,$8.5M,,Heritage Links,,,Rebuild ,Open,,Greg Nash,2022-12-02,33.7942356,-111.9356188,https://www.terravita.com/,LRPSubc2p7c,,,,Tom Bush,Open,Tbushgolfturf/status/1538202596615155713,Hole 15,,
N America,USA,Arkansas,Harbor Oaks,Holiday,Public,2022,,Joe Jemsek,,,,,,Renovate,Open,,,2022-10-08,34.2489126,-91.9900286,https://www.arkansasonline.com/news/2022/mar/11/pb-golf-course-faces-big-need-for-workers/,,,,,Pine Bluff,,,,,
N America,USA,California,Lake Merced ,Once,Member,2022,,Hanse Wagner,$15M,,Heritage Links,,,Restore,Open,,Mackenzie,2022-09-25,37.696,-122.47424,https://www.lmgc.org/,f1tkyXZAZks,dougwrightgolf,Doug Wright,,,Mackenzie,drewharvie/status/1455160273854156804,Hanse,,
N America,USA,California,Newport Beach,Once,Member,2022,,O'Callaghan,,,,,,Renovate,Open,,Billy Bell Jr.,2022-09-02,33.6111635,-117.8837372,https://www.newportbeachcc.com/,_1UaYGfO-O8,,,,,Design interview,,,,
N America,USA,California,Ocean Hills CC,Once,Member,2022,,Cary Bickler,$2.4M,,Candyl,,,Renovate,Open,,,2022-12-23,33.161288,-117.2659483,https://www.ohgc.net/golf-course-renovation-report,,,,,,,,,,
N America,USA,California,Palo Alto Hills,Once,,2022,,Brian Costello,,,,,,Renovate,Open,,Glasson,2022-11-11,37.373927,-122.174188,https://www.pahgcc.com/,Z3DQ43COeVQ,,,,,Back 9,,,,
N America,USA,California,Palos Verdes GC,Once,Member,2022,,Todd Eckenrode,,,Landscapes Unlimited,,,Renovate,Open,,Bell Thomas,2021-11-21,33.795303,-118.373222,https://www.pvgc.com/course-description,,,,,,,OriginsGolf/status/1372581192952803328,Masterplan,,
N America,USA,California,PGA West Palmer,Once,Member,2022,,Brandon Johnson,,,Heritage Links,,,Renovate,Open,,Arnold Palmer,2022-12-22,33.641506,-116.260792,https://www.pgawest.com/golf,,,,,Stadium,,,,,
N America,USA,California,San Luis Obispo,Once,Member,2022,,Todd Eckenrode,$10.1M,,Smallwood,,,Renovate,Open,,Stamps,2022-07-30,35.212608,-120.625373,https://clubandresortbusiness.com/playing-it-slo-at-san-luis-obispo-cc/,,,,,,,OriginsGolf/status/1389990374161014786,Front 9,,
