Region,Country,Location,Course,Play,Type,Date,NumberHoles,Architect,Budget,Budget2,Construction,ETA,Year,TypeOfJob,Status,Current,History,DataCurated,Latitude,Longitude,Website,YouTube,Instagram,InstaCaption,Acres,Comments,YouTubeCaption,Twitter,TwitterCaption
GB&I,England,Bolton,Hulton Park,Holiday,,2025,,European Golf Design,$300M,,,,,New,Drawing boards ,,,2021-12-13,53.507978,-2.506724,https://harriskalinka.wistia.com/medias/3ipyw17fh5,,,,,,,TheBoltonNews/status/1462810887073329154,Ryder Cup
GB&I,England,London,Legacy Club,Once,Member,2024,,Jeremy Slessor,,,,,,New,Drawing boards ,,Pete Dye,2023-11-01,51.6733213,-0.3846839,https://www.pitchcare.com/news-media/egd-to-complete-work-on-dye-project-in-london.html,,,,,,,TheDyeLondon/status/1370082810397143040,Layout
GB&I,England,London,The Inspiration,Holiday,Public,2024,,Mackenzie Ebert,,,,,,New,Construction,,,2023-01-01,51.5845102,-0.872312,https://golfbusinessnews.com/news/people/new-recruits-join-amenity-team-at-barenbrug-uk/,,westlondonlinksgc,westlondonlinksgc,,Menai-Davis,,,
GB&I,England,Moodie Brown,Houghton on the Hill,Holiday,,2025,,TBA,,,,,,New,Drawing boards ,,,2022-12-12,52.625931,-1.001195,https://www.leicestermercury.co.uk/news/local-news/new-18-hole-golf-course-7329076,Cg9oK3imYkw,,,,Scraptoft,Plans,,
GB&I,England,West Sussex,Bognor Regis,Holiday,Public,2026,,European Golf Design,,,,,,New,Drawing boards ,,,2022-03-25,50.7990623,-0.6530564,https://www.bognorgolfclub.co.uk/,,,,,,,Noviun/status/1505929921943769097,Planning
GB&I,Ireland,Wexford,Curracloe Golf Club,Holiday,Public,2024,,Dana Fry Jason Straka,$9M,,,,,New,Construction,,,2023-06-26,52.3988262,-6.3791163,https://fescue.github.io/Curracloe-Golf-Club/,,,,,,,,
GB&I,Scotland,Aberdeen,Trump MacLeod,Holiday,Public,2026,,Martin Hawtree,,,,,,New,Construction,,,2023-05-03,57.277345,-2.023333,https://www.trumpgolfscotland.com,rtrv5j6ebIg,,,,,Balmedie,,
GB&I,Scotland,Aberdeen,Ury Estate,Holiday,Public,2025,,Nicklaus Bouts,,,IMG,,,New,Construction,,,2023-03-18,56.980451,-2.512966,https://www.thebellman.co.uk/2023/03/17/ury-update-and-the-missing-link/,Jm483JFV3GA,,,,,Animation,timesscotland/status/1577275394461417472,500 homes
GB&I,Scotland,Dornoch,Coul Links,Holiday,Public,2028,,Bill Coore Ben Crenshaw,,,,,,New,Drawing boards ,,,2023-03-10,57.9108954,-4.0052194,https://www.communities4coul.scot/new-course-design/,,,,,Keiser,,gcamagazine/status/1623699330929508352,SSSI ESA
GB&I,Scotland,Dundee,The Angus,Holiday,Public,2025,,Webster Clarke,,,,,,New,Drawing boards ,,,2022-03-07,56.4746755,-3.0368728,https://www.heraldscotland.com/business_hq/19988150.angus-work-start-once-in-a-generation-golf-resort/,,,,,,,,
GB&I,Scotland,Fife,St. Andrews Bay,Holiday,Public,2025,,Mackenzie Ebert,,,,,,New,Drawing boards ,,,2022-04-20,56.320088,-2.7327562,https://www.thecourier.co.uk/fp/news/fife/3211853/st-andrews-golf-fairmont/,,,,,New Century,,,
GB&I,Scotland,Inverness,Cabot Highlands,Holiday,Public,2025,,Tom Doak Clyde Johnson,,,Chris Haspell,,,New,Construction,,,2023-11-15,57.5279226,-4.1080241,https://cabothighlands.com,,cunningolf,cunningolf,,Castle Stuart,,,
L America,Argentina,Mendoza,Algodon Wine Estates,Holiday,Public,2023,,In house,,,,,,New,Open,,,2023-05-20,-34.644806,-68.4710421,https://www.gauchoholdings.com/news/press/721,,,,,Gaucho,,,
L America,Argentina,San Martin de los Andes,El Desafío,Once,Member,2024,,Greg Norman,,,,,,New,Construction,,,2023-11-24,-40.1254012,-71.188556,https://fescue.github.io/El-Desaf%C3%ADo-Golf-Patagonia/,O3IEXVlPJkQ,eldesafiogolf,eldesafiogolf,,,Fescue Grass,eldesafioresort/status/1623691375769272322,Skyline Green
L America,Bahamas,El+euthera,Jack's Bay,Holiday,Public,2025,,Nicklaus Heritage,,,Chad Goetz,,,New,Construction,,,2023-08-06,24.7600227,-76.199953,https://golf.com/travel/jack-nicklaus-tiger-woods-designs-jacks-bay/,,jacksbayclub,jacksbayclub,,,,,
L America,Bahamas,Torch Cay,Ocean Ridge Resort,Holiday,Public,2026,,Bill Coore Ben Crenshaw,$170M,,,,,New,Drawing boards ,,,2023-06-27,23.3951786,-75.4935624,https://fescue.github.io/Torch-Cay/,V3khvXsnB20,CooreCrenshaw,Island,,707 acres,Hog Cay Airport,katierosman/status/1507788420059471882,Penske
L America,Barbuda,Barbuda,Barbuda Ocean Club,Member,Member,2023,,Tom Fazio,,,Discovery Land,,,New,Open,,,2023-03-10,17.549588,-61.765555,https://barbudaoceanclub.com/experiences/golf,,barbudaoceanclub,barbudaoceanclub,,Discovery Land,,harriskalinka/status/1366471482960969732,Harris Kalinka
L America,Brazil,Sao Paulo,Boa Vista,Holiday,Public,2026,,Rees Jones,,,,,,New,Drawing boards ,,,2022-12-14,-23.349641,-47.558208,https://boavista.com.br/,b-U2obE5P_4,,,,American Wave,Brazil,,
L America,Costa Rica,Guanacaste,Zapotal Beach Club,Member,Member,2024,,Tom Fazio,,,Discovery Land,,,New,Construction,,,2023-07-31,10.5239102,-85.8050644,https://zapotalbeachclub.com/experiences,,"
zapotalbeachclub","
zapotalbeachclub",,Discovery - Vimeo,,Johnson30M/status/1683476416254418951,Bunker Solution
L America,Grenada,Grenada,Mulan GC Grenada National,Holiday,Public,2026,,RTJ II,,,Mike Gorman,,,New,Drawing boards ,,,2023-10-22,12.0747705,-61.7573355,https://knightsbridge.ae/grenada-national-resort-citizenship-by-investment/,,hengsheng_turkey,Heng Sheng,,,,RTJ2GolfDesign/status/1573366853371678720,Robert Trent Jones II
L America,Guyana,Crane,West Side GC,Holiday,Public,2023,,Aleem Hussain,,,,,,New,Open,,,2023-04-02,5.7046599,-59.1275422,https://guyanachronicle.com/2023/03/27/guyanas-first-of-a-kind-golf-course-set-to-open-in-region-three/,,,,,,,,
L America,Guyana,Mahaica,Maraiko Bay,Holiday,Public,2023,,David Hemstock,,,,,,New,Construction,,,2022-12-27,6.689602,-93.779609,https://maraikobayresort.com,,,,,Rudy Ramalingum CIMGRO,,,
L America,Mexico,Aguascalientes,Zitara,Once,Member,2025,,Agustín Pizá,,,,,,New,Drawing boards ,,,2023-05-20,21.872878,-102.365754,https://golfindustria.es/piza-golf-desarrollara-un-proyecto-inmobiliario-con-golf-en-mexico-inspirandose-en-desarrollos-consolidados-espanoles/,xFnsMUAMpsE,zitaragolf,zitaragolf,,#cerrodelpicacho,grupoplusvalterra,,
L America,Mexico,Baja,Chileno Bay 2,Once,Member,2025,,Tom Fazio,,,Discovery Land,,,New,Construction,,,2023-01-12,22.9571919,-109.813218,https://chilenobayclub.com,,,,,,,,
L America,Mexico,Baja,Diamante Legacy,Once,Member,2024,,Tiger Woods,,,Beau Welling,,,New,Construction,,,2023-01-12,22.8969815,-109.9845385,https://tgrdesign.tigerwoods.com/courses/the-legacy-club-at-diamante/,,,,,,,,
L America,Mexico,Baja,Oleada,Holiday,Public,2026,,Ernie Els,,,Greg Letsche,,,New,Construction,,,2023-04-21,22.9444269,-110.0445583,https://golfweek.usatoday.com/gallery/ernie-els-new-course-oleada-cabo-san-lucas-mexico/,,oleadacabos,oleadacabos,,Vision Land Design,,,
L America,Mexico,Baja,Punta Brava,Holiday,Public,2025,,Tom Doak,,,Ben Malach,,,New,Construction,,,2023-08-28,31.7239443,-116.7254689,https://fescue.github.io/Punta-Brava/,,,,,,,harriskalinka/status/881602790291902464,Hole 18
L America,Mexico,Baja,Querencia 2,Once,Member,2025,,Tom Fazio,,,,,,New,Drawing boards ,,,2023-01-12,23.0320759,-109.753628,https://qcabo.com,,,,,,,,
L America,Mexico,Baja,Los Cabos,Once,Member,2026,,Greg Norman,,,,,,New,Drawing boards ,,,2023-02-23,23.4367153,-109.7097087,https://thecabosun.com/famous-golfer-greg-norman-will-develop-2-los-cabos-golf-courses-set-on-luxury-resorts/,,fsloscabos,Four Seasons,,,,,
L America,Mexico,Baja,Quivira GC 2,Once,Member,2024,,Albanese Matthews,,,,,,New,Drawing boards ,,,2022-01-12,22.87594,-109.9527239,https://www.quiviraloscabos.com/golf,,,,,,,porat_eric/status/1481250500833988609,St. Regis
L America,Mexico,Ciudad,Valle San Nicolas,Once,Member,2024,,Agustín Pizá,,,,,,New,Open,,,2022-10-01,19.1821382,-100.163445,https://www.casaslagom.com/proyectos/san-nicolas/?lang=en,,,,,,,,
L America,Mexico,Cuatro Cíenegas,Desertica,Once,Member,2026,24,Agustín Pizá Brandel Chamblee,,,,,,New,Drawing boards ,,,2023-08-19,26.983946,-106.543796,https://pizagolf.com/newsletter/,,,,,Butterfly Effect,,gcamagazine/status/1399739069198909446,GCA
L America,Mexico,Guanajuato,El Molino,Once,Member,2023,,Bobby Smelek,,,Roca Golf,,,New,Construction,,Von Hagge,2022-06-03,21.194826,-101.697967,https://www.elmolinogolfclub.com,,rocagolfinternational,rocagolfinternational,,7 new holes,,Roca_Golf/status/1420556242133598211,Roca
L America,Mexico,Sinaloa,La Primavera,Once,Member,2024,,Alarcon Morrish,,,Roca Golf,,,New,Construction,,,2022-03-12,24.7348256,-107.7117722,http://laprimavera.com.mx/,,clubdegolflaprimavera,Coppel,,,,,
L America,Mexico,Yucatan,Chichén Itzá,Holiday,Public,2025,,Greg Norman,$75M,,,,,New,Drawing boards ,,,2022-03-02,20.6834985,-88.5748053,https://realestatemarket.com.mx/noticias/turismo/35821-chichen-itza-sera-un-destino-con-servicios-de-calidad-mundial,,,,,,,PepeCortazarN/status/1461548431361687552,GrupoCíclo
L America,Mexico,Yucatan,Mayakoba CC,Holiday,Public,2024,18,Sergio Garcia,,,,,,New,Drawing boards ,,,2022-12-08,21.0332346,-86.1932991,https://www.mayakobacountryclub.com/en/,,,,,,,,
L America,Paraguay,Asuncion,Taruma Golf del Chaco,Holiday,Public,2025,18,Stirling Martin ,,,,ETA Dec 2024,,New,Construction,,,2023-09-22,-25.18902,-57.5974011,https://www.eigca.org/news/127695/Construction-begins-on-new-nine-hole-Stirling-and-Martin-course-in-Paraguay/,,,,,Marco Martin,,,
L America,Puerto Rico,Fajardo,Cayo Largo,Holiday,Public,2025,,Mackenzie Ebert,,,,,,New,Drawing boards ,,,2023-06-12,18.3031891,-65.630926,https://fescue.github.io/Cayo-Largo/,1ZTlQaEeoC4,,,,,Clifftop,,
L America,St Lucia,St Lucia,Cabot St. Lucia,Once,Member,2023,,Bill Coore Ben Crenshaw,,,Dormer Rhebb Oncore Principals,,,New,Open,,,2023-09-18,14.074383,-60.935679,https://cabotsaintlucia.com,FT1An-ycess,dormerdesigns,Trev Dormer,,Point Hardy,Holes 14-18,NCSUTURF/status/1499719349887803394,Jim Barger
Africa,South Africa,Durban,Durban CC,Once,Member,2024,,Robert McLean,$2M,,Golf Data,ETA Mar 2024,,Restore,Construction,,,2023-12-14,-29.828177,31.0315638,https://www.fb.me/DurbanCountryClub/videos/190251174045034,,,,,Rebuild all greens,,GoatGolfHoles/status/1514141992518836224,Flood
Africa,South Africa,Durban,Mount Edgecombe CC,Once,Member,2023,,Peter Matkovich,,,TurfWorx,,,Renovate,Open,,,2023-11-05,-29.7209611,31.0347938,https://www.mountedgecombe.com/,,,,,,,,
Africa,Zimbabwe,Harare,Warren Hills,Holiday,Public,2023,,Macintosh,$7M,,,,,Renovate,Drawing boards ,,,2022-02-24,-17.8135423,30.9924311,https://www.zimbabwesituation.com/news/hcc-augur-investments-partner-to-renovate-warren-hills-golf-course/,,,,,,,,
Asia,Bangladesh,Dhaka,Jolshiri Abashon,Holiday,Public,2023,,Paul Jansen,,,Bangladesh Army,,,New,Open,,,2023-12-11,23.780778,90.349286,https://www.flipbookpdf.net/web/site/41f293033f3cf5faa69cdc4754642fa02f07cab6202208.pdf.html#page/2,8pcZt6M5JR0,,,,,9 holes,,
Asia,Bangladesh,Dhaka,Kurmitola,Once,Member,2023,,Vijit Nandrajog,,,,,,Renovate,Open,,,2023-11-01,23.7993389,90.3936707,https://kgc-bd.com,,vijitnandrajog,new greens complex,,,,,
Asia,Brunei,Brunei,Empire Golf CC,Holiday,Public,2024,,,,,Green Dynasty Martin Stanbury,ETA Mar 2024,,Renovate,Ongoing,,Nicklaus,2023-10-23,4.9641984,114.8389982,https://theempirebrunei.comgolf/,,,,,Centaur Asia Pacific Sports Turf Solutions,,,
Asia,India,Chandigarh,Chandigarh ,Once,Member,2024,,Golf Design India,,,,,,Renovate,Ongoing,,,2022-06-05,30.736185,76.8126378,https://www.chandigarhgolfclub.in/course/new-developments/,,golf_design_india,Hole 9,,,,,
Asia,India,Hyderabad,Hyderabad GC,Holiday,Public,2024,,Richardson Jeffrey Danner,,,Heblikar,,,Renovate,Ongoing,,,2023-01-23,17.3936508,78.4021346,https://hyderabadgolfclub.co.in/,,,,,Re-routing 4 holes,,,
Asia,India,Jaipur,Rambagh,Once,Member,2025,,Vijit Nandrajog,,,,,,Rebuild ,Open,,,2023-11-12,26.8991087,75.8022848,https://www.rambaghgolfclub.com,,,,,,,,
Asia,Japan,Fukuoka,Classic Club,Once,Member,2024,,Ben Warren,,,Kurtis Lavis Eamon Sullivan Quinn Thompson,2024 Apr,,Renovate,Construction,,,2023-08-24,33.5104435,130.2132853,https://artisan.golf/,,farandsure,Zoysia,,Daisuke Tanimizu,,,
Asia,Japan,Nagano,Karuizawa GC,Once,Member,2024,,Bryce Swanson Rees Jones,,,Hiromi Yanagisawa Inaji Landscape,ETA Mar 2024,,Renovate,Construction,,,2023-10-06,36.3318062,138.6225683,https://golfcoursearchitecture.net/content/big-in-japan-the-rising-demand-for-rees-jones-pre-tournament-surgery,,,,,,,,
Asia,Japan,Yamaguchi,Shimonoseki GC,Once,Member,2024,,Ben Warren,,,,2024 Apr,,Renovate,Ongoing,,Osamu Ueda,2023-08-24,34.1411631,130.8802575,https://artisan.golf/,,farandsure,MiniVerde Bermuda,,,,,
Asia,Malaysia,Johor,Els Club Desaru Valley,Holiday,Public,2023,,Ernie Els,,,,,,Renovate,Open,,Vijay Singh,2023-11-05,1.550502,104.2535521,https://www.elsclubmalaysia.com/,,,,,Troon,,,
Asia,Philippines,Cebu,Cebu CC,Once,Member,2025,,Netforce,$13.5M,,,,,Renovate,Drawing boards ,,,2023-12-08,10.3308057,122.5927963,https://www.linkedin.com/in/isagani-gatil-1042307a/,,,,,,,,
Asia,Qatar,Doha,Doha,Holiday,Public,2023,,Peter Harradine,,,,,,Renovate,Ongoing,,,2021-03-09,25.380081,51.502796,https://www.dohagolfclub.com/championship,,,,,,,,
Asia,Singapore,Singapore,Keppel Club Sime,Holiday,Member,2023,,Phil Jacobs,,,,,,Renovate,Open,,,2023-02-05,1.3416869,103.8088678,https://www.fb.me/watch/?v=1190641984835501,qG7Zg2X8oLk,,,,,Site relocation,,
Asia,Singapore,Singapore,SICC Island,Once,Member,2025,,Neil Haworth,$22M,,,ETA Jun 2024,,Renovate,Construction,,,2023-09-18,1.3589516,103.8164056,https://eclub.sicc.org/.sg/enews/website/Club/202304/Extraordinary_General_Meeting_2023_Islander_Magazine.pdf,LLSg3e1oIig,,,,,Redevelopment,,
Asia,South Korea,Seoul,Seowon Hills CC,Once,Member,2023,,David Dale,,,,,,Renovate,Open,,,2023-10-17,37.7313533,125.676899,https://medium.com/@sportsinsiderph/bmw-ladies-championship-october-19-2023-37c51effe325,,,,,,,,
Asia,Thailand,Phuket,Blue Canyon,Once,Member,2023,,Greg Norman,,,STS Brad Burgess,,,Renovate,Open,,Yoshikazu Kato,2023-12-01,8.1033373,98.3260333,https://www.bluecanyonphuket.com/,,evan.duplessis.sa,Sustainable Turf Farms,,KLPGA,,STSAsia/status/1639606430448877571,Stadium Zoysia
Asia,Thailand,Chon Buri,Amata Springs,Once,Member,2024,,,,,,ETA Apr 2024,,Renovate,Construction,,,2023-10-20,13.4183878,101.0110439,https://www.amataspring.com,MGzYm-oFhDM,,,,,Mike McKenna,,
Asia,Thailand,Chon Buri,Siam CC Old,Holiday,Member,2023,,Lee Schmidt,,,,,,Renovate,Open,,Izumi,2023-09-08,12.9179814,100.985179,https://www.pattaya.golf/siam-country-club-old-course-reopening-2023/,,,,,Novotek Greens,,,
AU/NZ,Australia,Adelaide,Glenelg,Holiday,Member,2025,,Crafter Mogford ,$3M,,Tuohy Van Der Veen Warren,,,Renovate,Ongoing,,,2021-09-29,-34.9611808,138.5252769,https://www.glenelggolf.com/cms/,,,,,,,Golf_industry/status/1330675189575606273,AUS
AU/NZ,Australia,Canberra,Fairburn,Holiday,Member,2027,,Ben Davey,,,,,,Masterplan,Ongoing,,,2023-10-13,-34.5172632,149.4167898,https://www.fairbairngolfclub.com.au/,,,,,,,,
AU/NZ,Australia,Canberra,Murrumbidgee,Holiday,Member,2024,,Ben Davey,,,,,,Renovate,Drawing boards ,,,2022-08-24,-35.3857612,149.0378516,https://www.murrumbidgeegolf.com.au/residential-development/,,,,,,,,
AU/NZ,Australia,Canberra,Yowani CC,Holiday,Member,2025,,Ben Davey,,,Flemming Golf,ETA Nov 2025,,Renovate,Ongoing,,,2023-12-14,-35.2403213,149.1305322,https://www.yowanigrounds.com.au/,,,,,,,Golf_industry/status/1671730622296104964,Contour Golf Design
AU/NZ,Australia,NSW,Barham,Holiday,Member,2024,,Chambers,,,,,,Masterplan,Ongoing,,,2022-08-21,-35.6096875,144.1278704,https://clubarham.com.au/golf/,,,,,Back 9,,,
AU/NZ,Australia,NSW,Cammeray GC,Govt.,Public,2023,,,,,,,,Reduce,Open,,,2023-10-23,-33.8262423,151.2136881,https://cammeraygolf.com.au/,,,,,,,,
AU/NZ,Australia,NSW,Moore Park GC,Govt.,Public,2026,,,,,,,,Reduce,Drawing boards ,,,2023-10-23,-33.9006832,151.2190759,https://www.canberratimes.com.au/story/8396003/golf-club-tees-off-on-plan-to-halve-inner-sydney-course/,,,,,,,,
AU/NZ,Australia,NSW,New South Wales,Once,Member,2025,,Mackenzie Ebert,,,,,,Renovate,Drawing boards ,,MacKenzie,2022-11-04,-33.9911926,151.2381395,https://www.australiangolfdigest.com.au/new-south-wales-golf-club-appoints-mackenzie-ebert-to-develop-course-masterplan/,,,,,,,,
AU/NZ,Australia,NSW,Parkes GC,Holiday,Public,2023,,James Wilcher,,,Nathan Bradbery Phil Moylan,,,Rebuild ,Open,,,2023-09-11,-33.1486972,148.1498322,https://irp.cdn-website.com52cb77fb/files/uploaded/Drone%20Flyover%2003032023.pdf,,,,,Golf Spectrum,,,
AU/NZ,Australia,NSW,Royal Sydney,Holiday,,2025,,Gil Hanse,$12M,,,,,Restore,Drawing boards ,,Kent,2022-12-08,-33.873122,151.263936,https://www.smh.com.au/national/nsw/opponents-lament-tree-massacre-after-sydney-s-ritziest-golf-club-reno-approved-20221201-p5c2y4.html,,theroyalsydneygolfclub,Sydney,,,,Sandra_Sully/status/1307807354004537344,Trees
AU/NZ,Australia,NSW,St. Michael's,Once,Member,2023,,Ben Chambers Kevin Atkinson,,,Golf Shapes,,,Renovate,Open,,,2023-01-11,-33.9847565,151.2444375,https://www.stmichaelsgolf.com.au,,centreline,centreline,,Front 9,,,
AU/NZ,Australia,NSW,Tocumwal,Once,Member,2026,,Ben Chambers,,,,,,Renovate,Masterplan,,,2023-01-11,-35.8211634,145.5787579,http://www.clubtocumwal.com,,,,,36 holes,,,
AU/NZ,Australia,Perth,Royal Perth,Once,Member,2024,,Mike Clayton Lukas Michel,,,Harley Kruse,,,Renovate,Masterplan,,,2023-09-01,-31.9796065,115.8507486,https://www.rpgc.com.au/cms/wp-content/uploads/2022/02/RPGC-Course-Architect-Brief-July-2021.pdf,,,,,,,cdpgolf1/status/1465802900316295168,CDP
AU/NZ,Australia,Perth,Wembley,Govt.,Public,2026,,Mike Clayton Lukas Michel,,,Harley Kruse,,,Renovate,Masterplan,,,2023-09-01,-31.9290576,115.7722406,https://fescue.github.io/Wembley-Public-Golf-Perth/,,,,,Public Golf,,,
AU/NZ,Australia,Queensland,Ashgrove,Holiday,Public,2023,,James Wilcher,,,Golf Spectrum,,,Rebuild ,Construction,,,2023-09-23,-27.4431422,152.958658,https://www.ashgrovegolf.com.au/?view=article&id=353&catid=62,F-O9qoT40lA,,,,,Recreational Assets Recovery and Resilience Program,,
AU/NZ,Australia,Queensland,Indooroopilly,Holiday,Public,2023,,Perrett Webb,,,,,,Rebuild ,Construction,,,2022-06-26,-27.5178821,152.989503,https://www.indooroopillygolf.com.au/cms/,,,,,,,dhardmanturf/status/1540854763868151808,Dean Hardman
AU/NZ,Australia,Queensland,Pelican Waters,Once,Member,2023,,Greg Norman,,,,,,Renovate,Open,,,2023-08-04,-26.8369455,153.0878594,https://www.sunshinecoastnews.com.au/2023/08/04/greg-norman-designed-golf-course-reopened-amid-fanfare/,,,,,,,,
AU/NZ,Australia,Queensland,Royal Queensland,Once,Member,2032,,Oglivy Cocking Mead,,,,,,Renovate,Masterplan,,,2023-03-01,-27.4386705,153.0890607,https://www.rqgolf.com.au,,RQGOLF,RQGOLF,,2032 Olympics,,,
AU/NZ,Australia,Tasmania,Tasmania GC,Holiday,Member,2025,,Ben Davey,,,,,,Renovate,Drawing boards ,,,2022-08-24,-42.817753,147.50477,https://podcasts.apple.com/au/podcast/ep-67-the-design-brief-ben-davey-contour-golf/id1511508487?i=1000576380395,,,,,Highway,,,
AU/NZ,Australia,Victoria,Commonwealth,Holiday,Member,2024,,Brian Slawnik,$4M,,,ETA Mar 2024,,Restore,Ongoing,,Bennett Lane,2023-09-15,-37.930016,145.084262,https://www.commonwealthgolf.com.au/cms/commonwealths-restoration-plans/,dKjTTlg8Kqs,,,,,Final Stage,CommonwealthGC/status/1582979606180933632,16th hole
AU/NZ,Australia,Victoria,Freeway GC,Holiday,Public,2023,,Phil Ryan,$2M,,,,,Rebuild ,Open,,,2023-04-05,-37.7807182,145.0713096,https://www.boroondara.vic.gov.au/media/61831/download?inline,1GlIfS96T0E,fwygolf,fwygolf,,,New cart path,,
AU/NZ,Australia,Victoria,Huntingdale,Holiday,Member,2025,,Oglivy Cocking Mead,,,,,,Renovate,Construction,,Alison,2023-05-14,-37.917342,145.0965,https://www.ocm.golf/clients/huntingdale/,,,,,Cranbourne JV,,,
AU/NZ,Australia,Victoria,Kew GC,Holiday,Member,2033,,Mike Clayton Lukas Michel,,,Harley Kruse,10-15 year masterplan,1904,Renovate,Masterplan,,Fred Fritts,2023-09-11,-37.7886921,145.0464347,https://golfcoursearchitecture.net/content/cdp-teams-up-with-harley-kruse-to-advise-the-kew-in-melbourne,,,,,,,KewGolfClub/status/1580878665780326400,2022 Flood
AU/NZ,Australia,Victoria,Metropolitan,Holiday,Member,2025,,Crafter Mogford,,,STRI Australia,,,Restore,Drawing boards ,,,2023-05-14,-37.9119199,145.0875964,https://striaustralia.com.au/case-studies/the-metropolitan-golf-club-green-restoration-project/,,,,,,,,
AU/NZ,Australia,Victoria,Mornington,Holiday,Member,2024,,Darius Oliver,,,,,1904,Renovate,Masterplan,,,2022-03-10,-38.211616,145.0565203,https://www.morningtongolf.com.au/cms/,,,,,,,,
AU/NZ,Australia,Victoria,Port Fairy,Holiday,Member,2025,,Clayton DeVries Pont,,,,,,Renovate,Masterplan,,,2023-01-14,-38.359497,142.277438,https://www.portfairygolf.com.au/,,,,,,,mikeclaytongolf/status/1364112980460195849,Potential
AU/NZ,Australia,Victoria,Quarry Hill,Holiday,Member,2024,,Ben Davey,,,,,,Renovate,Masterplan,,,2021-04-12,-36.775389,144.270937,https://quarryhillgolfclub.com?page_id=156,,,,,,,,
AU/NZ,Australia,Victoria,Riversdale GC,Holiday,Member,2023,,Crafter Mogford,,,,,,Renovate,Ongoing,,Russell,2023-02-23,-37.871434,144.974196,https://www.riversdalegolf.com.au/cms/,cDObq3WtOng,,,,,Pin Location,,
AU/NZ,Australia,Victoria,Southern Golf Club,Holiday,Member,2024,,Oglivy Cocking Mead,,,,ETA Mar 2024,,Renovate,Ongoing,,,2023-09-28,-37.9947979,145.1366341,https://vimeo.com/820179585,,,,,,,,
AU/NZ,Australia,Victoria,The National Long Island,Holiday,Member,2024,,Oglivy Cocking Mead,,,,,,Renovate,Construction,,,2023-12-26,-38.4604737,144.8805339,https://fescue.github.io/The-National-Long-Island-Victoria/,,thenationalocm,thenationalocm,,,,,
AU/NZ,Australia,Victoria,The National Old,Holiday,Public,2026,,Oglivy Cocking Mead,,,,,,Rebuild ,Drawing boards ,,RTJ Jr.,2022-12-29,-38.4600783,144.8796584,https://www.nationalgolf.com/.au/cms/,,thenational1988,thenational1988,,George Thomas,,OCMGolf/status/1608689026592305154,Cape Schank
AU/NZ,Australia,Perth,Mount Lawley,Holiday,Public,2024,,Oglivy Cocking Mead,,,,ETA Feb 2024,,Renovate,Construction,,,2023-09-04,-30.8662196,117.97498,https://www.mlgc.org/cms/course-home/about-the-course-2/,,mlgc_course,007 Bentgrass,,,,,
AU/NZ,Australia,Western Aus.,Kennedy Bay,Holiday,Member,2024,,Graham Marsh,,,McMahons,,,Renovate,Construction,,Ian Baker-Finch,2023-09-26,-32.3682181,115.7330972,https://linkskennedybay.com.au/,kWpZ8BI9psI,,,,,Rough Shaping,,
AU/NZ,Australia,Western Aus.,Kwinana,Holiday,Member,2023,,Ben Davey,,,Phil Moylan,,,Renovate,Open,,,2023-03-10,-32.2459494,115.7929058,https://www.fb.me/CreativeGolfManagement,,,,,,,,
AU/NZ,NZ,South Island,Christchurch GC,Holiday,Member,2023,,Crafter Mogford,,,Shaping Dirt,,,Renovate,Open,,,2023-07-15,-43.4997077,162.1217173,https://www.christchurchgolf.co.nz/,,,,,,,,
Europe,Belgium,De Haan,Royal Oostende,Holiday,Member,2024,,Clayton DeVries Pont,,,,,,Renovate,Masterplan,,,2022-07-04,51.26917,3.0119727,https://rogc.eu/,,,,,,,,
Europe,Czech Republic,Czech,Prague City,Holiday,Member,2023,,Jakub Cervenka,,,,,,Renovate,Ongoing,,,2021-12-26,50.138114,15.144428,https://www.praguecitygolf.cz/en/course/golf-course,,,,,,,Jakubervenka13/status/1452169403114590213,Par 5
Europe,Denmark,Fanø,Breinholtgård,Holiday,Member,2023,,Jonathan Gaunt,,,,,,Renovate,Ongoing,,,2022-04-12,55.5573331,8.379803,https://www.bggc.dk/,,,,,,,,
Europe,Denmark,Fanø,Fanø Vesterhavsbads,Holiday,Member,2024,,Spogard Van der Vaart,,,,,,Renovate,Masterplan,,,2022-02-01,55.4354769,8.3638251,https://www.golf.dk/danske-klubber/fano-under-forvandling-vi-skal-helst-ikke-blive-en-skovbane,,spogardvandervaart,Philip Spogárd,,Bjorn,,,
Europe,Finland,Finland,Aura Golf,Holiday,Member,2026,,Lassi Pekka Tilander,,,,,,Renovate,Masterplan,,,2022-12-12,60.4268941,22.1199785,https://auragolf.fi/,,,,,,,,
Europe,Finland,Finland,Helsinki GC,Holiday,Member,2025,,Philip Spogárd,,,,,,Renovate,Construction,,,2023-09-07,60.2119191,24.8582753,https://taligolf.fi/wp-content/uploads/2023/08/Tali-master-plan-presentation_compressed-1.pdf?fbclid=IwAR3S9F_4iCsF4fEz7xIvT7kzWHqKqd9R1_-RJCYSYMcJNZXcpGhgjs3eQQE_aem_Ad0AJ_z6MOyEhoVg33g1t8JDYMDyESuGlm7HmgqqtFPq3PUZ0k0IMwStvIZzrFvjVM0,,spogardvandervaart,USGA Spec,,,,,
