Region,Country,Location,City,Course,Play,Type,i100,Date,NumberHoles,Architect,Budget,Budget2,Apprentice1,Apprentice2,Construction,ConstructionURL,Super,Irrigation,Bunkers,Sand,Greens,Fairways,Year,TypeOfJob,Status,Current,History,DataCurated,Latitude,Longitude,ApproxGPS,Website,MediaWeb,YouTube,Instagram,InstaCaption,BackTee,AnnualGroundsBudget,Acres,Equiprment,AnnualWater,WaterSrc,Comments,Comments2,YouTubeCaption,Twitter,TwitterCaption,Bob,ArchitectURL,Owner,Opposition,Permits,MgmtCo,Irrigation
Africa,Nigeria,Yenagoa,,HSD Castle Rock,Holiday,,,2021,,Ron Garl Ricky Nix,,,,,Total Golf,,,,,,,,,New,Open,,,7/12/2021,4.948846,6.267643,,https://guardian.ng/sport/yenagoa-bubbles-as-hsd-golf-country-club-plans-first-anniversary/,,,newyenagoacity_,Real estate Golf,,,,,,,,,,,,,,,,,,
Africa,Rwanda,Kigali,,Rwanda Ultimate GC,Holiday,,Short,2021,,Gary Player,$17M,,,,Gregori,,,,,,,,,New,Open,,,9/3/2021,-1.929422,30.040558,,http://www.kigaligolfclub.com,,oEV02jDc3i4,,,,,128,,,,Open,,Greens Expansion,PlayerDesign/status/1351874437226885121,Golf Africa,,,,,,,
Asia,India,Hyderabad,,Haldi GC,Holiday,,,2021,,Ryan Reeves,,,,,,,,,,,,,,New,Open,,,1/7/2021,17.879949,78.443251,,https://haldigolfcounty.com/golf-villa-plots-hyderabad/#about,,,haldigolfcounty,Haldi,,,,,,,,,,,,,,,,,,
Asia,India,Uttar Pradesh,,Godrej Links,Holiday,,Short,2021,,Vijit Nandrajog,,,,,,,,,,,,,,New,Open,,,7/26/2021,28.470344,77.532823,,https://www.godrejpropertiesgreaternoida.com/godrej-golf-links,,,,,,,,,,,,,,gcamagazine/status/1415942121547341825,Vijit,,,,,,,
Asia,India,Uttar Pradesh,,Lotus Greens Noida,Holiday,,,2021,,Vijit Nandrajog,,,,,,,,,,,,,,New,Open,,,3/4/2022,28.564189,77.339865,,https://www.propdial.com/Property-Management-In-Noida/Sector-78/Lotus-Greens-Golf-Centric,,,,,,,,,,,,,,,,,,,,,,
Asia,Indonesia,Jakarta,,Sedayu,Holiday,,,2021,,Nicklaus Cope,,,,,,,,,,,,,,New,Open,,,12/14/2021,-6.035466,106.700915,,https://pik2info.com/golf-island/,,lGv6BnjVQOs,,,,,950,,,,Ellsworth,,MainGolfYukTV,gcamagazine/status/1295629087160111104,Par 3s,,,,,,,
Asia,Pakistan,Multan,,Rumanza,Holiday,,,2021,,Faldo Haggar,,,,,Desert Group,,,,,,,,,New,Open,,,4/20/2021,30.288939,71.507692,,https://www.dhamultan.org/Developed-Projects/Rumanza,,MNBayAAYTAI,rumanzagolf,Rumanza,,,,,,,,,Desert Golf,FaldoDesign/status/1351569544712744960,Desert Layout,,,,,,,
Asia,Philippines,Bataan,,Tandatangan ,Holiday,,,2021,9,John Cope,,,,,,,,,,,,,,New,Open,,,2/15/2021,14.450705,120.465053,,https://www.camayacoastrealestate.com/tandatangan-golf-residences,,VKmeqEv0qpg,,,3275,,,,,,,,Golf Tropics,margierom29/status/1241147124185628672,Real estate Country Club,,,brianbeltran@camayacoast.org,,,,
Asia,Philippines,Davao,,Dakak,Holiday,,,2021,,Norman Cope,$18M,,,,,,,,,,,,,New,Open,,,3/29/2021,8.696272,114.427656,,http://www.dakakgolfclub.ph/the-course/,,XzbYIxVW4Sw,,,7000,,,,,,,,Island golf,,,,,,,,,
Asia,South Korea,Haenam,,Solaseado,Once,,,2021,,Dale Ramsey,,,,,,,,,,,,,,New,Open,,,6/30/2020,34.556024,126.588755,,,,,,,,,,,,,,,,,,,,,,,,
Asia,South Korea,Incheon,,Orange,Holiday,,,2021,,,,,,,,,,,,,,,,New,Open,,,2/26/2021,37.503986,126.500257,,,,,,,,,,,,,,,,,,,,,,,,
Asia,South Korea,South Korea,,Seolhaewon,Holiday,,,2021,,,,,,,,,,,,,,,,New,Open,,,2/26/2021,38.053737,128.653484,,https://www.seolhaeone.com/,,,,,,,,,,,New 9,,,,,,,,,,,
Asia,Thailand,Ayutthaya,,Sai Golf Club,Holiday,Public,,2021,,JMP Moore,,,,,,,,,,,,,,New,Open,,,3/17/2021,14.145705,100.545877,,https://www.facebook.com/saigolfclub/,,htkcN8ZVr-s,,,6883,,,,,,,,Preview,,,,,,,,,
Asia,Thailand,Phang Nga,,Aquella,Holiday,,,2021,,Phil Ryan,,,,,,,,,,,,,,New,Open,,Dye,6/2/2021,8.461472,98.114342,,https://aquella.com/,,cYa53yNJUU0,aquellathailand,Aquella,,,,,,,was Muang Thai,,Beachfront golf,PhuketDailyNews/status/1399812058019811329,Phuket Holiday golf,,,,,,,
Asia,Thailand,Samut Prakan,,Ballyshear,Once,,,2021,,Gil Hanse,,,,,,,,,,,,,,New,Open,,,10/17/2021,13.609653,100.882831,,https://brc.co.th/,,xR9IHesKJ5I,ballyshear_golf_links,Lido inspired,,,,,,,,,Interview,rjmcfadde/status/1334854148718817280,Overhead,Yes,,,,,,
Asia,Vietnam,Hanoi,,Thanh Lanh,Holiday,Public,,2021,,Faldo Haggar,,,,,Flagstick,,,,,,,,,New,Open,,,2/25/2022,21.39786,105.685922,,https://www.facebook.com/mike.sebastian.apgg/posts/3800163370068464,,JjFowc_ab40,,,,,,,,,Serena,,Golf Resort,FaldoDesign/status/1471872029615927304,Penalty Area,,,,,,,
Asia,Vietnam,Hanoi,,Amber Hills Hillside,Holiday,,,2021,,Albanese Lutzke,,,,,,,,,,,,,,New,Open,,,3/27/2021,21.214816,106.1953,,http://amberhills.vn/golf-course,,S8svGH7vOmg,alegolf.vietnam,Tee time,,,,,,,Yen Dung,,Asian Golf Holiday,,,,,,,,,
Asia,Vietnam,Hoa Binh,,Hilltop Valley,Holiday,,,2021,,B Stenson,,,,,,,,,,,,,,New,Open,,,1/22/2021,20.879405,105.350913,,http://hilltopvalleygolf.com/,,,,,,,,,,,IMG,,,,,,,,,,,
Asia,Vietnam,Ninh Binh,,Royal GC Queens,Holiday,,,2021,,Nicklaus II Wagner,,,,,Cameron Thompson,,,,,,Primo Zoysia,Zeon Zoysia,,New,Open,,,3/11/2021,20.125885,104.845866,,https://www.golfcoursearchitecture.net/content/work-turns-to-back-nine-on-new-nicklaus-course-in-vietnam,,gL9RCLV0-2A,,,,,,,,,,,Parkland Golf,,,,,,,,,
Asia,Vietnam,Phan Thiet,,Nova PGA Ocean,Holiday,,,2021,,Norman,,,,,Flagstick,Sports Turf,,,,,Primo Zoysia,Zeon Zoysia,,New,Open,,,8/20/2021,10.845856,107.965728,,https://novaworldphanthiet.com.vn/en/phan-ky/,,8CGKEG2ZjxQ,,,,,,,,,,,Flyover,STSAsia/status/1294462134760255494,Sports Turf Solutions,,,,,,,
AU/NZ,Australia,Tasmania,,Barnbougle Bougle Run,Holiday,,,2021,,Johns Hawker,,,,,,,,,,,,,,New,Open,,,4/5/2021,-41.004858,147.435641,,https://twitter.com/Barnbougle,,stLGGgFOSCY,barnbougle,Bougle,,,,,,,Bill Coore,,Caddie,AussieGolfer/status/1360902658090037259,Sandy soil,,,,,,,
AU/NZ,Australia,Victoria,,Neangar Park,Holiday,,Short,2021,,Davey,,,,,,,,,,,,,,New,Open,,,12/1/2020,-36.713958,142.027724,,https://www.contourgolf.com.au/,,hnZ7843U-wM,contour_golf,Contour,,,,,,,Bendigo,,Tifdwarf,,,,,,,,,
AU/NZ,NZ,North Island,,Tieke Golf Estate,Holiday,,,2021,,Thomson Tataurangi,,,,,,,,,,,,,,New,Open,,,2/1/2022,-37.862798,175.3448224,,https://tiekegolf.co.nz/,,ks07wj1Dvek,tiekegolf,Hamilton,,,,,,,,,Aerial,PhilTataurangi/status/1440631236909678604,ANZ Golf Tourism,,,,,,,
AU/NZ,NZ,South Island,,Wanaka,Holiday,Member,Short,2021,,Charles,$0.5M,,,,,,,,,,,,,New,Open,,,3/27/2021,-44.697021,169.140659,,https://wanakagolf.co.nz/,,,,,,,,,,,,,,Golf_industry/status/1374310722067337217,Bunkers,,,,,,,
Europe,France,Alsace,,Académie 57,Holiday,Public,,2021,,van Hauwaert,,,,,Southwest Greens,,,,,,,,,New,Open,,,11/22/2021,49.1145564,6.1413288,,https://www.golfacademie57.fr/,,,,,,,,,,,,,,,,,,,,,,
Europe,Georgia,Tbilisi,,Tabori Golf Resort,Holiday,,,2021,,David Dale Dale Ramsey,,,,,,,,,,,,,,New,Open,,,7/20/2020,41.680164,44.784098,,http://anagi.ge/en/project/tabori---hotel-and-golf-club-tbilisi/148,,19EaIb9h03w,,,,,,,,,,,Shaping,,,,,,,,,
Europe,Germany,Weimar,,Spa Anna Amalia,Holiday,Public,Short,2021,9,Reinmuth Städler,,,,,,,,,,,,,,New,Open,,,4/12/2022,50.8751406,11.3404821,,https://www.golfresort-weimarerland.de/spa-golf-hotel/golfen/golfplaetze/anna-amalia-course.html,,,,,,,,,,,,,,,,,,,,,,
Europe,Netherlands,Molenschot,,Princenbosch,Holiday,,,2021,,Rijks,,,,,,,,,,,,,,New,Open,,,8/9/2020,51.548065,4.87138,,https://www.princenbosch.nl/,,,,,,,,,,,Par 3,,,,,,,,,,,
Europe,Spain,Murcia,,Altaona,Holiday,,,2021,,Stirling Martin,,,,, GTM Golf ,,,,,,,,,New,Open,,,12/19/2021,37.873944,-1.09791,,https://altaonavillage.com/,,SW_zNEPvR94,,,,,,,,,GTM,,Hole 18,,,,,,,,,
Europe,Spain,Murcia,,New Sierra,Holiday,Public,,2021,9,Rodríguez-Murcia,,,,,Surtec,,,,,,,,,New,Open,,,12/13/2022,37.8565719,-0.9855099,,http://www.newsierragolf.com/,,WnJdx6RYZ40,surtecgolfagronomy,surtecgolfagronomy,,,,,,,,,9th hole,surtec_agronomy/status/1443172853399138304,Back 9,,,,,,,
Europe,Spain,Oleiros,,Golf Xaz,Holiday,,,2021,,Stirling Martin,,,,,,,,,,,,,,New,Open,,,11/10/2021,43.350747,-8.356903,,https://pazodexaz.com/,,,,,,,,,,,Golf Spain,,,laopinioncoruna/status/1387730911878393858,Galicia,,,,,,,
GB&I,Ireland,Donegal,,St Patricks,Holiday,,,2021,,Doak Iverson Johnson Moser,,,Angela Moser,Clyde Johnson,,,,,,,,,,New,Open,,,8/25/2021,55.188626,-7.831761,,https://www.stpatrickslinks.ie,,y35vPnZZ5MY,stpatrickslinks,stpatrickslinks,,,360,,,,,,Bertram,Rosapenna1893/status/1366328064549015552,Links Golf,Yes,,,,,,
L America,Argentina,Buenos Aires,,San Pedro,Holiday,Public,,2021,,Fernando Gonzalez Prieto,,,,,,,,,,,,,,New,Open,,,2/2/2021,-33.689482,-60.785915,,https://www.sanpedroinforma.com.ar/nota/123647?fbclid=IwAR1iYbn7uG__aI4OGK-Hfq5MrCKwLxIPYE6izzvzdYv0gx22WNy7zPlydGY,,,,,,,,,,,Tipaldi,,,,,,,Claudio Tipaldi,,,,
L America,Mexico,Yucatan,,RLL Wellness,Holiday,,,2021,,Agustin Piza,,,,,,,,,,,,,,New,Open,,,1/12/2021,20.754224,-89.863627,,http://www.architecturepressrelease.com/2nd-award-multi-golf-complex-rll-by-piza-golf/,,,,,,,,,,,Chablé,,,arqpiza/status/1349062012949598208,Wellness Resort,,,,,,,
N America,Bermuda,St George’s,,Five Forts,Holiday,Public,,2021,,RTJ II,,,,,,,,,,,,,,Rebuild ,Open,,RTJ,4/17/2021,32.385585,-64.677884,,https://www.marriott.com/en-us/hotels/bdaxr-the-st-regis-bermuda-resort/experiences/five-forts-golf-club/,,,,,,,,,,,St. Regis,,,BTAInsights/status/1368730102507462658,Golf Hotel,,,,,,,
N America,USA,California,,Pebble Beach Hay,Holiday,,Short,2021,,Welling Woods,,,,,,,,,,,,,,Rebuild ,Open,,,4/17/2021,36.569655,-121.951944,,https://www.pebblebeach.com/golf/the-hay/,,Xb4MlZk4Zt4,pebblebeachresorts,Pebble Beach,,,,,,,,,Experience,TigerWoods/status/1383080462936125442,Junior Golf,,,,,,,
N America,USA,Florida,,Jonathan's Landing,Member,,,2021,,Gil Hanse Jim Wagner,,,,,,,,,,,,,,Rebuild ,Open,,Hills,12/2/2021,26.980306,-80.204482,,https://jonathanslanding.clubhouseonline-e3.com/Club-Info/OT_Project,,AG-B3btaT38,,,,,,,,,Old Trail,,Faxon,BradFaxon/status/1362141881317097480,Brad Faxon,,,,,,,
N America,USA,Illinois,,Heritage Oaks,Govt.,Public,,2021,,Jacobson Jeffrey Danner,$13.3M,,,,Wadsworth,,,,,,,,,Rebuild ,Open,,,2/9/2021,42.136825,-87.869199,,https://www.chicagogolfreport.com/sportsmans-Renovate-update/,,,,,,,,,,,,,,nb_parks/status/1354898761647075329,Muni Golf,,,,,,,
N America,USA,Louisiana,,Lake Charles,Govt.,Public,,2021,,Blume,,,,,Sterling,,,,,,,,,Rebuild ,Open,,,8/7/2022,30.210287,-93.155726,,https://www.mallardgolfclub.com/,,,,,,,,,,,Mallard,,,,,,,,,,,
N America,USA,Louisiana,,Smugglers Run,Govt.,Public,,2021,,Nathan Crace,,,,,,,,,,,,,,Rebuild ,Open,,,9/19/2020,32.292728,-97.250226,,https://www.jprec.org/golfcourse,,,,,7200,,,,,,Jackson Parish,,,,,,,,,,,
N America,USA,New York,,Inness,Once,,Short,2021,,King Collins ,,,,,,,,,,,,,,Rebuild ,Open,,,6/15/2021,41.798304,-74.231373,,https://inness.co/,,URX_aryWfmo,inness_ny,inness_ny,,,,,,,Rondout,,Flyover,aminniti147/status/1403380240009809922,Preview,,,,,,,
N America,USA,North Carolina,,High Hampton,Holiday,Public,,2021,,Tom Fazio Bryan Bowers,,,,,Pristine Golf,,,,,,,,,Rebuild ,Open,,,5/28/2021,35.098948,-83.08636,,https://highhamptonnc.com,,5qoVMNEG7-Q,highhamptonnc,Cashiers,,,684,,,,,,GCSAA,gcamagazine/status/1398319211391377415,Images,Maybe,,Beall,,,,
N America,USA,North Dakota,,Fox Hills,Once,,,2021,,Norby ,$8.4M,,,,Landscapes Unlimited,,,,,,,,,Rebuild ,Open,,,10/3/2021,47.805107,-103.235358,,https://foxhillsgc.com/index.htm,,,,,,,,,,,,,,golfnorby/status/1442575725568008193,LU,,,,,,,
N America,USA,Pennsylvania,,Bob O’Connor,Govt.,Public,Short,2021,,Cervone ,,,,,,,,,,,,,,Rebuild ,Open,,,5/18/2022,40.437792,-79.936605,,https://www.golfcourseindustry.com/article/first-tee-pittsburgh-golf-course-schenley-park/,,,,,,,,,,,,,,SHistorians/status/1350893624511377410,Shistorians,,,,,,,
N America,USA,Virginia,,Belmont ,Govt.,Public,,2021,,Davis Love Scot Sherman,$5M,,,,MacCurrach,http://www.maccurrachgolf.com/,,,,,,,,Rebuild ,Open,,Tillinghast ,3/4/2021,37.618363,-77.464182,,https://golf.com/travel/courses/muni-mondays-belmont-virginia-12-holes/,,neY2s-YRU7I,playbelmontrva,VA,,,,,,,Snow Canyon,,Henrico County,Love3GolfDesign/status/1366194940057948160,View,,,,,,,
Asia,India,Kerala,,Trivandrum,Once,Public,,2021,,Vijit Nandrajog,,,,,,,,,,,,,,Rebuild ,Open,,Thompson,11/26/2020,8.522467,76.964031,,http://saitrivandrumgolfclub.com/home/,,4xE0QDVYD5Y,golf_design_india,Vijit,,,,,,,9 holes,,Colonial Golf Course,scorpiosaurus/status/1262255612160663552,Pics,,,,,,,
Asia,Thailand,Ubon,,RTAFB Wing 21,Govt.,Public,,2021,,,,,,,,,,,,,,,,Rebuild ,Open,,,6/16/2021,15.25476,104.86127,,https://forum.thaivisa.com/topic/1219439-ubon-golf/,,,,,,,,,,,,,,,,,,,,,,
GB&I,England,Basingstoke,,Weybrook Park GC,Holiday,Public,,2021,,Moodie Burrell,,,,,Ely,,,,,,,,,Rebuild ,Open,,,6/1/2021,51.2847559,-3.3650082,,https://www.weybrookpark.co.uk/the-course,,,,,,,,,,,,,,,,,,,,,,
L America,Uruguay,Maldonado,,Las Piedras,Once,,,2021,,Thad Layton,,,,,,,,,,,,,,Rebuild ,Open,,Palmer,11/3/2020,-34.840073,-55.445542,,http://www.laspiedrasfasano.com/en/amenities/golf/,,,thad.layton,thad.layton,,,,,,,New 9,,,,,,,,,,,
N America,USA,Florida,,Sailfish Sands,Govt.,Public,,2021,,Sanford ,$10M,,,,TDI,,,,,,,,,Reduce,Open,,Langford,12/26/2021,27.179709,-80.206676,,https://sailfishpoint.com/golf/,,ZTaWa08MoKA,,,,,,,,,Martin County ,,Front 9,,,,,,,,,
N America,Canada,Alberta,,Blackhawk GC,Once,,Short,2021,,Whitman Cutten,,,,,,,,,,,,,,Renovate,Open,,,3/21/2022,53.385303,-113.663592,,https://www.playblackhawk.com/,,,,,,,,,,,,,,playblackhawk/status/1282729330393530369,The Sanctuary,,,,,,,
N America,Canada,Brit Columbia,,Sagebrush,Holiday,Public,,2021,,Whitman Mingay Zokol,,,,,,,,,,,,,,Renovate,Open,,,6/11/2021,50.1536807,-120.5360454,,https://cfjctoday.com/2021/05/14/watch-reclamation-project-sagebrush-golf-club-near-merritt-rising-again,,,,,,,,,,,,,,YoungerGolf/status/1403323731284475908,Reboot,,,,,,,
N America,Canada,Brit Columbia,,Uplands Golf Club,Once,Member,,2021,,Jeff Mingay,,,,,,,,,,,,,,Renovate,Open,,Robinson,9/22/2021,48.45,-123.309167,,https://www.uplandsgolfclub.com/Club/Club_History,,1ectWBD730A,,,,,,,,,,,Holes 2-3,,,,,,,,,
N America,USA,Alabama,,Peninsula Golf,Holiday,Public,,2021,,In house,,,,,,,,,,,,,,Renovate,Open,,Stone,8/7/2021,30.2525333,-87.7754281,,https://www.peninsulagolfclub.com/index.php,,e5P5IDx-GD8,,,,,,,,,Barrett,,AL,,,,,,,,,
N America,USA,Arizona,,Eagle Mountain,Holiday,Public,,2021,,In house,,,,,Casa Verde,,,,,,,,,Renovate,Open,,Miller ,10/11/2022,33.5765693,-111.761337,,https://eaglemtn.com/awards-accolades/,,,,,,,,,,,Reduction,,,,,,,,,,,
N America,USA,Arizona,,The Views GC,Once,Member,,2021,,Mike Gogel,,,,,Pro Turf International,,,,,,,,,Renovate,Open,,Nash Hardin,7/13/2020,32.462574,-110.950123,,https://www.theviewsgolfclub.com/,,0OPqXN66FYY,theviewsgolf,Desert Golf,,,,,,,,,ProTurf,,,,,,,,,
N America,USA,California,,Cordevalle,Once,Member,,2021,,RTJ II,,,,,,,,,,,,,,Renovate,Open ,,RTJ II,6/25/2021,37.067571,-121.6350852,,https://golfweek.usatoday.com/gallery/photos-refreshed-cordevalle-california,,,,,,,,,,,,,,,,,,,,,,
N America,USA,California,,El Caballero,Once,,,2021,,Rees Jones,$10M,,Steve Weisser,,Wadsworth,,,,,,,,,Renovate,Open,,RTJ,11/24/2021,34.160106,-118.535039,,https://www.reesjonesinc.com/el-caballero/,,d2eUKn-iyus,,,,,,,,,Santa Ana bermuda,,Latitude 36 bermuda,GCImagazine/status/1462904184064417792,Tournament History,,,,,,,
N America,USA,California,,Friendly Hills,Once,Member,,2021,,Casey O'Callaghan,,,,,,,,,,,,,,Renovate,Open,,Hines,3/4/2022,33.959722,-117.998861,,https://www.instagram.com/p/CIjj3wJldvj/,,,,,,,,,,,5 degrees,,,,,,,,,,,
N America,USA,California,,Granite Bay,Once,Member,,2021,,Abbott Rodriguez Page,,,,,,,,,,,,,,Renovate,Open,,RTJ Phillips,10/27/2021,38.7247203,-121.196836,,http://www.granitebaycourseupdate.com/,,TQUmbMVwcCE,,,,,,,,,,,Regrassing,,,,,,,,,
N America,USA,California,,Mountain Vista Sun City,Once,Member,,2021,,Casey O'Callaghan,,,,,,,,,,,,,,Renovate,Open,,Billy Casper,11/12/2021,33.782367,-116.294155,,https://www.desertsun.com/story/sports/golf/2021/10/26/mountain-vista-golf-club-palm-desert-debuts-course-changes/8545081002/,,,,,,,,,,,,,,caseygolfdesign/status/1392571490059489280,Hole 7,,,,,,,
N America,USA,California,,Pico Rivera,Govt.,Public,,2021,,Govt.,,,,,,,,,,,,,,Renovate,Open,,,10/18/2022,34.0187114,-118.061417,,https://www.picoriveragc.com/,,,,,,,,,,,Dam repair,,,,,,,,,,,
N America,USA,California,,San Vicente ,Holiday,,,2021,,Andy Staples,$2.9M,,,,Heritage Links,,,,,,,,,Renovate,Open,,Robinson ,2/28/2021,33.002199,-116.807967,,https://www.sanvicenteresort.com/,,M2cw_vJOeIs,,,,,,,,,,,Hole 9,buildsmartrgolf/status/1356626512297029632,Golf Resort,,,,,,,
N America,USA,California,,Tahoe Donner,Once,,,2021,,Cary Bickler,$2.5M,,,,,,,,,,,,,Renovate,Open ,,,3/22/2021,39.352275,-120.233514,,http://www.tahoedonner.com/amenities/amenities/golf/,,,,,,,,,,,,,,EarthSculptures/status/1273989888283602944,Mountain Golf,,,,,,,
N America,USA,Connecticut,,Aspetuck Valley CC,Once,,,2021,,Lester George,,,,,Heritage Links,,,,,,,,,Renovate,Open,,,9/8/2021,41.226918,-73.334711,,https://www.aspetuckvalley.com/,,,,,,,,,,,,,,Evan_Schiller/status/1333595030699864071,Images,,,,,,,
N America,USA,Florida,,Bent Creek,Once,Member,,2021,,In house,,,,,Indigo Troon,,,,,,,,,Renovate,Open ,,Bobby Weed,9/13/2021,35.7608843,-83.347392,,https://www.golfbentcreek.com/,,,,,,,,,,,,,,,,,,,,,,
